no,page,page_annot_no,type,subject,author,created,modified,comment,x0,y0,x1,y1,id
11,2,2,Text,附注,YUN PENG,2026-04-29 15:47:55 +08:00,2026-04-29 15:48:16 +08:00,这个不需要在intro里面讲，在你后面的design和结果里面去讲就行了。,163.20,349.04,187.20,373.04,2a7df1f7-5bd5-6944-8d48-ee0ee2ea8e4b
12,2,3,Text,附注,YUN PENG,2026-04-29 15:48:27 +08:00,2026-04-29 15:49:17 +08:00,先写empirical study的findings，再写整篇paper的contributions，你这个C1的contribution如果没有eval的话建议不要提，要不然肯定会被喷,133.08,563.72,157.08,587.72,2c4ba29a-4a14-1649-b720-a84b5349e43c
13,2,4,Text,附注,YUN PENG,2026-04-29 15:50:56 +08:00,2026-04-29 15:51:36 +08:00,这两个findings是想说明啥，第一个finding已经说明agent做不出来了，第二个finding是啥意思？,469.52,309.31,493.52,333.31,b0a0cf2a-04bc-6a42-817e-9bdb3ac0594c
14,2,5,Text,附注,YUN PENG,2026-04-29 15:51:52 +08:00,2026-04-29 15:52:44 +08:00,这个finding可能会被喷，有可能是long prompt包含的信息还是不足，或者说是agent没有办法理解非常长的文档？,453.50,424.02,477.50,448.02,5943ac04-06c3-6c40-b9bc-e6400e9d5e99
15,2,6,Text,附注,YUN PENG,2026-04-29 15:53:05 +08:00,2026-04-29 15:53:38 +08:00,这个你直接说agents失败的原因有那几类就行了，不用说你的gate啥的方法,461.83,502.85,485.83,526.84,035e9478-fb46-2c4f-929b-bfa641a41faa
16,2,7,Text,附注,YUN PENG,2026-04-29 16:10:59 +08:00,2026-04-29 16:11:39 +08:00,empirical study要先设置research question，你要在intro里面就列出来哪几个问题你要研究，然后针对这些RQ去设置实验,162.56,428.51,186.56,452.51,a0815881-2b7a-de43-a6a4-571578336dcd
17,3,1,Text,附注,YUN PENG,2026-04-29 15:54:37 +08:00,2026-04-29 15:55:04 +08:00,你要说一下为啥找这几个project，比如他们有名，开发符合规范，有各种长文档的需求和对应的PR啥的。,131.16,377.88,155.16,401.88,85e250ea-b146-1248-abc8-4772fa53883d
18,3,2,Text,附注,YUN PENG,2026-04-29 15:55:14 +08:00,2026-04-29 15:56:17 +08:00,这个你应该在intro就要提，而且要说明跟之前benchmark的差别，最好是提一下系统级/模块级区别之前benchmark的文件级，这样看起来比较软工,167.69,445.81,191.69,469.81,5c56a838-d26d-c04d-985b-3b49f561d213
19,3,3,Text,附注,YUN PENG,2026-04-29 15:57:32 +08:00,2026-04-29 15:57:53 +08:00,这里应该只说数据是咋来的吧，这个90多的agreement是咋来的？,213.83,611.15,237.83,635.15,a983a1dc-0d21-5f40-b53d-b5b39c630038
20,3,4,Text,附注,YUN PENG,2026-04-29 15:58:46 +08:00,2026-04-29 15:59:00 +08:00,你这里怎么又讲怎么选的了，要到前面一起讲,425.30,527.84,449.30,551.84,6830ab64-ea36-5549-8d1b-a97977b3fef7
21,4,1,Text,附注,YUN PENG,2026-04-29 16:00:16 +08:00,2026-04-29 16:02:17 +08:00,这个表格有点太稀疏了，应该可以缩小很多，我给你的那50个instance最好也简单列一下分布，两个benchmark直列一个数据太奇怪了，reviewer一般都不会看replication package,290.09,179.22,314.09,203.22,eabafceb-e3eb-c74c-8dc9-431de4656570
22,4,2,Text,附注,YUN PENG,2026-04-29 16:02:46 +08:00,2026-04-29 16:02:52 +08:00,你这个N是啥？没有解释,249.71,336.87,273.71,360.87,ea51f971-0a5b-4c45-9634-1ef5aa38d503
23,4,3,Text,附注,YUN PENG,2026-04-29 16:03:51 +08:00,2026-04-29 16:04:01 +08:00,所有缩写都要解释，要不然就写全,348.40,113.22,372.40,137.22,858d36a6-13f6-b84a-9a0f-ba3c1904ed36
24,4,4,Text,附注,YUN PENG,2026-04-29 16:04:15 +08:00,2026-04-29 16:04:46 +08:00,这个写的太简单了，我是建议列一个EP的大概格式出来，然后图示说你选了哪部分做short prompt，哪部分做long prompt,121.55,499.64,145.55,523.64,4312c2d7-9df0-f040-a082-5f9b6663229d
25,4,5,Text,附注,YUN PENG,2026-04-29 16:05:41 +08:00,2026-04-29 16:06:48 +08:00,我看似乎全是LLM as a judge，软工对这个比较敏感，你去看下SWE-QA之类的paper是咋评的，写的看起来solid一点,415.05,340.71,439.05,364.71,fd622fcf-d9b1-9545-b33b-a91eb5d42bae
26,4,6,Text,附注,YUN PENG,2026-04-29 16:07:13 +08:00,2026-04-29 16:08:17 +08:00,你可能也要提一下大规模的修改跑testcase耗时耗力，testcase粒度太粗，错1行和错2000行都是错，也与工业界的要求不符，因为公司还是看入库率，错了一点手动改一下能入库也可以,432.99,468.88,456.99,492.88,fc5758b1-f527-2247-b18c-b3005433a9f5
27,4,7,Text,附注,YUN PENG,2026-04-29 16:10:11 +08:00,2026-04-29 16:10:32 +08:00,你目前的章节数量太少了，可以把evaluation拆成一章来写。,145.90,583.59,169.90,607.59,af8d26b5-29e6-4b49-920d-0ecb27929cd6
28,5,1,Text,附注,YUN PENG,2026-04-29 16:09:21 +08:00,2026-04-29 16:09:47 +08:00,你要说一下你用了什么CPU型号，用啥调的模型，机器多大内存啥的,181.79,270.22,205.79,294.22,a12a68bc-b98f-2943-be51-068e787893d8
29,5,2,Text,附注,YUN PENG,2026-04-29 16:10:37 +08:00,2026-04-29 16:10:42 +08:00,Empirical Results,88.86,327.26,112.86,351.26,dc214079-49d7-294d-8987-2cbc6f346c1f
30,5,3,Text,附注,YUN PENG,2026-04-29 16:11:53 +08:00,2026-04-29 16:12:09 +08:00,这个section要用RQ来organize，不能想到啥写啥，这样没有系统性,165.12,390.06,189.12,414.06,2a921c46-1e9c-0640-80e9-a9274469eb3b
31,5,4,Text,附注,YUN PENG,2026-04-29 16:12:17 +08:00,2026-04-29 16:12:49 +08:00,finding最好用一个框框起来，然后背景用颜色高亮，比较显眼。,190.76,625.24,214.76,649.24,15d52693-7443-344e-a95a-aad3536183ad
32,5,5,Text,附注,YUN PENG,2026-04-29 16:13:44 +08:00,2026-04-29 16:20:22 +08:00,你的数据表呢，就算效果很差也要放表。。。Table 4是两个benchmark集合的结果，最好还是在Table 4里面区分一下，这样你在这里也可以reference,245.23,582.31,269.23,606.31,9ce76c73-9297-2742-a559-a029f3d75339
33,5,6,Text,附注,YUN PENG,2026-04-29 16:14:20 +08:00,2026-04-29 16:14:28 +08:00,这个最好也是用表来展示,402.23,152.31,426.23,176.31,347ac868-3eda-d44e-b1ab-658f13f2cc61
34,5,7,Text,附注,YUN PENG,2026-04-29 16:17:32 +08:00,2026-04-29 16:17:42 +08:00,这个为啥要框起来highlight？,401.59,320.85,425.59,344.85,fdc329b0-5569-1c4e-9017-bd2a8f4e689a
35,5,8,Text,附注,YUN PENG,2026-04-29 16:18:03 +08:00,2026-04-29 16:18:19 +08:00,这个你可以在后面单独加一section：discussion来讨论这些,375.32,478.49,399.32,502.49,18495b0c-86ea-844a-8ac9-47d7cf748dab
36,6,1,Text,附注,YUN PENG,2026-04-29 16:21:29 +08:00,2026-04-29 16:21:44 +08:00,你这个表是在哪提到的？没有看到reference的地方,179.86,496.44,203.86,520.44,a701e4e9-4ff4-b242-811b-bb88eadcbcc1
37,6,2,Text,附注,YUN PENG,2026-04-29 16:22:27 +08:00,2026-04-29 16:23:02 +08:00,你这起手上来就finding有点离谱，多写一点观察和发现再写findings，你可以把前面怎么做agreement的搬到这里来,440.68,503.49,464.68,527.49,f9828a65-66cb-3f4a-8100-8849462a0b18
38,6,3,Text,附注,YUN PENG,2026-04-29 16:23:31 +08:00,2026-04-29 16:23:39 +08:00,要cite，有self-alignment bias的paper,501.56,557.96,525.56,581.96,628dc96a-c4f8-3f45-9419-4c88adf2f10a
39,7,1,Text,附注,YUN PENG,2026-04-29 16:25:40 +08:00,2026-04-29 16:25:56 +08:00,这个也是，不要起手finding，这个的数据在哪？,207.42,337.51,231.42,361.51,40e7287b-1672-2f48-9f53-e52b8d363785
40,7,2,Text,附注,YUN PENG,2026-04-29 16:26:26 +08:00,2026-04-29 16:26:32 +08:00,啥叫CSV-derived？,154.23,483.62,178.23,507.62,7bb05e98-ccc6-4d47-b2d6-08d10389e56d
41,7,3,Text,附注,YUN PENG,2026-04-29 16:26:57 +08:00,2026-04-29 16:27:25 +08:00,"为啥选2,以及1-5分的评分标准前面好像也没有讲",204.85,570.13,228.85,594.13,582a4cd5-f796-ca48-878f-c237448a2c1a
42,8,1,Text,附注,YUN PENG,2026-04-29 16:28:44 +08:00,2026-04-29 16:29:11 +08:00,如果一个点很小的话，建议直接加粗成一个小点，不需要写成一个subsection，我发现现在很多这种很小的subsection,185.63,89.50,209.63,113.50,aad2ded1-8f4b-6146-94af-e73e3ced98f9
43,8,2,Text,附注,YUN PENG,2026-04-29 16:30:06 +08:00,2026-04-29 16:30:19 +08:00,case study一般是要有图片或者例子的,153.59,297.78,177.59,321.78,e7d0200c-cee5-4648-b9fe-88704ed8fa53
44,8,3,Text,附注,YUN PENG,2026-04-29 16:30:28 +08:00,2026-04-29 16:30:56 +08:00,这个不能算是一个finding吧，这只是你的policy的motivation，finding是客观描述实验结果的,239.46,400.31,263.46,424.31,518d9a34-13c2-4444-a47f-420eb8715ecc
45,8,4,Text,附注,YUN PENG,2026-04-29 16:31:59 +08:00,2026-04-29 16:33:07 +08:00,这个看起来像是一个implication，就是你从finding里面总结出来的经验，如果是implication不是具体的方法的话，我是建议不要作为main contribution大写特写，因为你这个也没有验证过，写一个小点提一下总结了这些policy就行。,174.10,482.34,198.10,506.34,f09e5173-985e-fa46-9702-f8ad07e220cf
46,8,5,Text,附注,YUN PENG,2026-04-29 16:34:18 +08:00,2026-04-29 16:34:54 +08:00,涉及到公司相关claim的都要慎重，如果公司没用但是你claim用了容易产生合规风险，而且有些属于公司内部的决策，不应该告诉外界的也不应该透露。,380.45,648.32,404.45,672.32,0bbe1de3-8678-e44d-b567-d341a0d68706
47,9,1,Text,附注,YUN PENG,2026-04-29 16:31:04 +08:00,2026-04-29 16:31:39 +08:00,"Threats to validity只有三类：internal, external和construct，你要把所有的这里列的都分到这三类里面去，然后只有这三个subsection",408.64,116.42,432.64,140.42,e7b0846c-0bff-b048-bb39-bc5f677305b4
48,9,2,Text,附注,YUN PENG,2026-04-29 16:33:57 +08:00,2026-04-29 16:34:10 +08:00,这个图片干啥的，没有地方reference它,170.89,254.84,194.89,278.84,91246b93-40f9-7d4e-82e7-eb07402bf734
49,9,3,Text,附注,YUN PENG,2026-04-29 16:35:09 +08:00,2026-04-29 16:35:49 +08:00,这个最好不要当成main contribution，主要的贡献还是empirical study和总结的findings，核心就是coding agents还搞不定现在的工业级开发,491.31,649.60,515.31,673.60,aa9031ba-24f0-e241-984f-cf434beec6be
50,10,1,Text,附注,YUN PENG,2026-04-29 16:29:24 +08:00,2026-04-29 16:29:41 +08:00,这个不需要写这么多，你就说你的replication package在哪就行，一句话。,177.30,474.01,201.30,498.01,3d1564c7-54fc-e84f-9e6a-bfd4128a86cf
51,10,2,Text,附注,YUN PENG,2026-04-29 16:36:00 +08:00,2026-04-29 16:36:27 +08:00,这个有点像你的limitation而不是future work，future work应该是类似于可以从哪些方面去改进现在的coding agents,195.24,290.09,219.24,314.09,a2ba1398-3ef9-0f46-a7ec-f69676288b02
52,12,1,Text,附注,YUN PENG,2026-04-29 16:36:39 +08:00,2026-04-29 16:36:51 +08:00,reference也不能超过2页，注意,220.24,170.89,244.24,194.89,274e1464-d0e7-8f47-8628-06900c9f5813
